413,2021-05-30 10-08-50,886,268,681
414,2021-05-30 10-09-00,885,269,679
415,2021-05-30 10-09-10,888,269,682
416,2021-05-30 10-09-20,890,269,684
417,2021-05-30 10-09-30,890,270,683
418,2021-05-30 10-09-40,890,270,683
419,2021-05-30 10-09-50,894,270,686
420,2021-05-30 10-10-00,899,271,691
421,2021-05-30 10-10-10,896,271,687
422,2021-05-30 10-10-20,897,271,688
423,2021-05-30 10-10-30,897,272,687
424,2021-05-30 10-10-40,894,272,684
425,2021-05-30 10-10-50,895,272,685
426,2021-05-30 10-11-00,896,271,686
427,2021-05-30 10-11-10,897,271,687
428,2021-05-30 10-11-20,897,271,687
429,2021-05-30 10-11-30,900,271,690
430,2021-05-30 10-11-40,903,271,693
431,2021-05-30 10-11-50,903,271,693
432,2021-05-30 10-12-00,903,270,693
433,2021-05-30 10-12-10,907,270,698
434,2021-05-30 10-12-20,906,270,696
435,2021-05-30 10-12-30,907,270,697
436,2021-05-30 10-12-40,906,270,696
437,2021-05-30 10-12-50,906,270,696
438,2021-05-30 10-13-00,909,271,698
439,2021-05-30 10-13-10,911,270,701
440,2021-05-30 10-13-20,916,271,706
441,2021-05-30 10-13-30,918,272,706
442,2021-05-30 10-13-40,918,273,705
443,2021-05-30 10-13-50,919,273,706
444,2021-05-30 10-14-00,919,274,705
445,2021-05-30 10-14-10,919,274,704
446,2021-05-30 10-14-20,919,275,703
447,2021-05-30 10-14-30,911,276,693
448,2021-05-30 10-14-40,909,277,690
449,2021-05-30 10-14-50,913,278,692
450,2021-05-30 10-15-00,916,280,694
451,2021-05-30 10-15-10,916,282,692
452,2021-05-30 10-15-20,916,283,690
453,2021-05-30 10-15-30,910,285,682
454,2021-05-30 10-15-40,909,286,678
455,2021-05-30 10-15-50,902,287,670
456,2021-05-30 10-16-00,908,289,674
457,2021-05-30 10-16-10,903,291,666
458,2021-05-30 10-16-20,902,293,663
459,2021-05-30 10-16-30,906,295,665
460,2021-05-30 10-16-40,894,297,650
461,2021-05-30 10-16-50,886,299,638
462,2021-05-30 10-17-00,881,300,632
463,2021-05-30 10-17-10,871,301,620
464,2021-05-30 10-17-20,867,302,615
465,2021-05-30 10-17-30,866,302,613
466,2021-05-30 10-17-40,878,302,626
467,2021-05-30 10-17-50,895,304,642
468,2021-05-30 10-18-00,904,307,649
469,2021-05-30 10-18-10,911,310,653
470,2021-05-30 10-18-20,921,311,662
471,2021-05-30 10-18-30,926,312,666
472,2021-05-30 10-18-40,933,314,672
473,2021-05-30 10-18-50,934,315,672
474,2021-05-30 10-19-00,941,315,679
475,2021-05-30 10-19-10,947,316,684
476,2021-05-30 10-19-20,954,316,691
477,2021-05-30 10-19-30,927,314,664
478,2021-05-30 10-19-40,923,310,664
479,2021-05-30 10-19-50,924,302,673
480,2021-05-30 10-20-00,853,289,611
481,2021-05-30 10-20-10,572,261,336
482,2021-05-30 10-20-20,466,240,245
483,2021-05-30 10-20-30,608,249,388
484,2021-05-30 10-20-40,694,266,464
485,2021-05-30 10-20-50,760,281,518
486,2021-05-30 10-21-00,807,294,555
487,2021-05-30 10-21-10,844,305,582
488,2021-05-30 10-21-20,904,315,636
489,2021-05-30 10-21-30,895,314,627
490,2021-05-30 10-21-40,895,309,632
491,2021-05-30 10-21-50,899,303,643
492,2021-05-30 10-22-00,840,298,585
493,2021-05-30 10-22-10,833,294,581
494,2021-05-30 10-22-20,765,282,522
495,2021-05-30 10-22-30,787,281,546
496,2021-05-30 10-22-40,656,279,406
497,2021-05-30 10-22-50,833,294,581
498,2021-05-30 10-23-00,865,305,604
499,2021-05-30 10-23-10,871,307,607
500,2021-05-30 10-23-20,878,307,615
501,2021-05-30 10-23-30,889,308,626
502,2021-05-30 10-23-40,908,310,644
503,2021-05-30 10-23-50,890,310,625
504,2021-05-30 10-24-00,886,310,620
